"0" "1" "2" "3" "4" "5" "6" "7" "8" "9" "10" "11" "12" "13" "14" "15" "16" "total"
"0" 0 0 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 2
"1" 0.176 0.235 0.529 0.059 0 0 0 0 0 0 0 0 0 0 0 0 0 17
"2" 0.004 0.031 0.854 0.082 0.026 0.001 0.001 0 0.001 0 0 0 0 0 0 0 0 817
"3" 0.003 0.003 0.037 0.817 0.118 0.006 0.012 0 0.003 0 0 0 0 0 0 0 0 322
"4" 0 0.005 0.036 0.042 0.799 0.055 0.044 0.003 0.01 0 0.003 0.003 0 0 0 0 0 384
"5" 0 0 0.077 0.038 0.269 0.423 0.115 0.038 0.038 0 0 0 0 0 0 0 0 26
"6" 0 0 0.091 0.045 0.159 0.068 0.477 0.068 0.023 0.045 0 0.023 0 0 0 0 0 44
"7" 0 0 0 0.056 0.056 0.056 0.111 0.389 0.333 0 0 0 0 0 0 0 0 18
"8" 0 0 0.045 0 0.182 0 0.091 0.182 0.364 0.045 0 0.045 0.045 0 0 0 0 22
"9" 0 0 0 0 0 0 0 0.023 0.023 0.909 0.045 0 0 0 0 0 0 44
"10" 0 0 0 0 0 0 0 0 0.018 0.018 0.965 0 0 0 0 0 0 57
"11" 0 0 0 0 0 0.167 0 0.333 0.167 0 0.167 0.167 0 0 0 0 0 6
"12" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"13" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"14" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"15" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"16" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"total" 7 32 741 351 386 40 50 19 25 44 59 4 1 0 0 0 0 0
