	gene8	gene7	gene1	gene3	gene4	gene2	cellnum	chrom3	chrom2	gene5	gene6	chrom1
0	2	2	2	2	1	3	2	2	2	2	2	2
1	1	2	2	2	2	1	2	2	1	2	1	3
2	2	2	2	2	4	1	1	2	2	2	1	2
3	2	2	2	2	1	2	2	2	3	2	2	2
4	2	2	2	3	1	2	4	2	1	2	2	2
5	2	2	1	2	1	3	2	1	2	2	2	2
6	2	2	2	4	1	2	1	1	2	2	2	1
7	3	2	2	1	1	1	1	1	2	2	1	1
8	2	1	1	1	1	1	1	2	2	1	2	1
9	2	2	3	2	2	2	2	1	2	1	2	1
10	2	2	1	1	1	4	3	3	2	2	2	3
11	3	2	2	2	1	2	2	4	1	2	1	1
12	2	2	2	1	1	2	1	1	2	1	2	2
13	1	1	1	1	2	2	2	2	2	3	2	2
14	2	3	2	2	1	2	2	1	1	2	3	2
15	2	2	1	2	1	1	4	2	3	2	2	1
16	3	2	2	2	2	2	2	2	2	2	3	1
17	3	2	3	2	1	2	2	1	2	2	2	2
18	2	4	1	2	3	2	2	1	2	3	1	1
19	2	2	1	2	1	2	2	2	2	2	3	2
20	2	1	2	2	2	1	2	1	2	1	1	2
21	1	2	2	1	1	1	1	2	2	2	1	4
22	2	2	1	3	2	1	2	3	2	1	2	2
23	2	2	2	2	2	1	2	2	2	2	1	2
24	2	2	1	2	2	3	1	1	2	2	1	1
25	2	2	2	2	2	3	4	1	1	2	2	2
26	1	2	1	1	2	1	2	3	2	1	1	2
27	1	1	3	2	1	1	3	1	2	1	2	2
28	2	2	2	4	1	1	2	2	2	2	1	2
29	2	1	3	4	2	4	2	1	1	2	2	2
30	2	3	2	1	2	1	2	1	2	3	3	2
31	1	2	3	2	2	1	1	1	1	1	2	1
32	2	2	2	2	3	2	2	3	2	1	3	3
33	2	3	2	1	1	2	2	1	3	4	2	1
34	2	2	1	2	2	4	2	2	3	2	2	1
35	3	1	1	1	2	4	1	3	2	2	3	1
36	2	2	2	2	2	1	1	1	1	2	2	2
37	1	1	2	2	2	2	2	2	2	2	3	2
38	2	1	2	2	2	2	2	1	2	1	2	1
39	2	2	2	2	2	1	2	2	1	1	2	1
40	3	1	1	2	2	2	2	2	1	2	2	1
41	3	2	2	2	3	3	2	2	2	2	2	2
42	1	1	1	2	2	2	2	2	2	2	2	1
43	1	2	2	1	1	4	2	2	2	1	1	2
44	1	2	3	2	4	2	2	2	4	3	2	2
45	1	1	4	3	1	2	2	1	2	2	2	2
46	2	2	1	2	1	1	2	2	2	2	2	2
47	2	3	1	2	1	2	2	1	2	2	1	1
48	2	2	1	2	2	2	1	1	4	2	1	2
49	1	2	4	2	1	2	2	2	1	2	1	1
50	1	1	2	2	2	3	2	3	1	1	2	2
51	2	2	2	2	1	4	1	2	1	2	2	2
52	2	1	2	1	1	2	2	2	2	2	1	2
53	2	2	2	3	2	2	1	2	2	2	1	1
54	2	2	2	2	2	4	3	4	2	3	2	2
55	3	2	2	2	2	2	1	1	2	2	2	1
56	4	2	2	1	1	2	1	2	2	1	2	2
57	2	1	2	2	2	2	1	4	2	2	2	2
58	2	2	1	2	2	3	2	1	2	4	2	2
59	2	1	2	2	3	1	1	3	2	2	2	2
60	3	2	2	1	1	2	2	1	2	2	3	2
61	1	2	1	2	2	2	2	1	1	2	2	2
62	2	2	2	1	3	2	2	2	2	2	2	3
63	2	2	1	2	2	2	2	2	2	1	2	2
64	2	2	1	4	2	1	1	2	1	2	2	1
65	1	2	1	1	2	2	1	3	2	2	3	2
66	2	2	1	2	3	2	3	2	1	2	2	1
67	3	3	1	1	2	2	1	2	2	1	2	3
68	2	2	2	2	3	2	2	3	3	2	4	2
69	3	1	2	1	1	1	2	1	4	1	3	4
70	3	1	2	2	1	2	1	2	4	2	4	2
71	2	1	1	2	3	2	2	2	2	2	3	2
72	3	2	2	2	2	2	1	2	2	1	2	3
73	2	2	2	1	1	2	1	2	1	2	2	2
74	3	2	1	2	2	3	1	2	4	2	2	2
75	2	2	2	2	2	1	2	2	2	1	3	2
76	2	2	2	2	2	2	2	2	2	2	3	2
77	3	2	1	1	3	3	2	2	2	2	1	4
78	2	4	4	1	2	2	2	1	1	2	2	1
79	1	2	2	3	2	2	3	2	2	2	4	1
80	1	2	2	3	2	3	4	4	2	2	1	2
81	3	1	2	1	2	1	2	1	2	2	1	1
82	2	3	2	2	2	2	2	2	2	2	2	1
83	2	1	3	1	2	2	2	2	1	2	2	2
84	1	2	2	2	4	1	2	2	2	2	2	2
85	2	2	2	2	2	3	3	2	2	2	2	1
86	1	1	2	1	2	2	2	2	1	2	2	2
87	2	1	1	2	2	2	2	2	1	1	2	2
88	2	1	2	1	2	4	2	2	4	1	2	2
89	2	3	2	1	1	2	1	2	1	3	2	3
