	gene8	gene7	gene1	gene3	gene4	gene2	cellnum	chrom3	chrom2	gene5	gene6	chrom1
0	2	2	2	2	2	1	2	1	2	2	1	2
1	2	1	2	1	2	1	1	2	1	2	2	2
2	2	2	2	2	2	2	1	2	4	2	1	1
3	3	1	2	2	2	2	1	2	1	2	1	2
4	3	3	2	1	2	2	1	2	2	2	2	1
5	3	4	1	2	2	1	2	1	2	3	3	1
6	3	2	2	2	1	2	2	3	2	2	2	2
7	2	1	4	2	2	1	2	2	1	2	2	2
8	1	1	2	1	2	2	2	1	2	1	3	2
9	2	2	1	2	2	4	1	2	2	2	1	2
10	2	4	2	2	1	1	2	1	1	2	1	2
11	2	1	2	2	2	1	2	2	1	2	2	2
12	2	2	4	2	2	1	1	2	2	1	2	2
13	1	1	2	2	2	2	1	2	2	2	4	1
14	3	1	1	3	2	1	1	1	1	1	2	1
15	1	3	1	2	2	1	2	2	3	1	2	1
16	2	2	2	1	2	2	1	1	2	2	2	2
17	2	2	2	1	2	2	2	2	2	3	3	2
18	4	2	2	3	2	2	3	2	2	2	1	1
19	2	2	2	3	2	3	2	2	2	2	2	2
20	1	1	1	3	1	2	2	2	2	2	1	2
21	1	2	1	2	3	3	2	2	3	2	1	1
22	2	2	4	1	2	2	2	1	1	2	2	3
23	3	2	2	2	2	1	2	1	1	3	4	3
24	1	2	2	1	2	2	1	3	4	4	2	2
25	1	2	2	3	4	2	1	1	2	2	2	1
26	2	2	2	4	2	2	1	1	1	2	1	4
27	2	1	3	1	2	3	1	1	3	2	2	2
28	2	1	2	2	1	2	2	2	2	2	2	2
29	3	3	1	2	1	1	3	1	2	2	2	2
30	1	1	2	2	1	3	1	1	3	2	2	2
31	2	2	1	2	1	3	2	1	1	2	2	2
32	2	2	2	1	3	2	2	2	2	2	1	2
33	2	2	2	2	2	2	2	2	1	1	2	1
34	2	2	4	2	2	1	1	1	1	1	2	2
35	2	2	2	2	2	1	3	2	1	2	2	2
36	2	2	1	2	1	1	1	2	2	3	3	1
37	3	1	2	2	2	3	3	1	2	2	2	2
38	2	2	2	1	3	2	1	1	1	2	2	1
39	1	2	3	2	2	2	3	3	2	2	2	2
40	1	3	2	1	1	1	2	1	3	1	1	2
41	1	2	4	2	2	2	2	1	2	2	1	2
42	2	2	1	2	2	1	2	2	2	2	2	1
43	2	2	2	2	1	2	2	2	2	2	2	2
44	2	2	2	1	2	2	2	2	2	3	2	1
45	2	2	1	2	3	3	4	1	2	2	2	2
46	1	2	2	2	2	1	1	2	2	2	1	1
47	2	3	2	1	1	3	1	2	2	2	1	2
48	1	2	1	2	1	1	2	2	2	1	2	2
49	1	2	2	2	2	2	3	3	1	2	2	2
50	2	1	2	2	2	2	2	2	1	2	2	1
51	2	1	2	2	2	1	2	2	2	1	2	1
52	3	1	3	2	2	2	2	2	2	2	2	1
53	4	1	2	2	2	2	4	2	2	2	2	1
54	2	2	1	1	3	2	2	1	2	2	2	2
55	2	3	2	1	4	1	1	2	2	2	2	2
56	2	2	1	1	1	2	2	1	2	1	3	2
57	1	1	1	4	2	2	1	2	1	1	2	2
58	2	1	1	1	2	3	2	1	2	1	2	2
59	1	1	2	2	2	3	3	2	4	2	2	2
60	2	2	2	2	3	1	1	3	4	2	2	1
61	2	4	2	2	1	1	2	2	3	2	3	3
62	2	4	2	2	2	4	1	2	2	2	3	1
63	4	2	2	1	2	2	1	2	1	2	2	2
64	2	3	2	1	4	2	2	2	2	2	2	1
65	3	2	1	2	2	2	4	1	1	1	2	2
66	1	2	1	2	2	3	2	2	2	2	1	4
67	3	1	2	2	2	4	1	2	2	3	1	3
68	1	1	2	2	3	2	1	2	3	3	1	2
69	1	2	2	3	2	2	2	2	2	4	2	2
70	1	2	4	3	2	1	1	2	2	2	1	2
71	3	1	2	2	2	1	2	2	3	2	2	1
72	3	3	2	2	2	2	2	1	2	3	4	1
73	4	2	2	1	2	2	2	1	2	1	2	1
74	1	4	2	2	2	2	1	3	2	2	2	2
75	2	1	1	3	2	3	2	3	2	2	1	2
76	2	1	2	2	2	3	2	3	2	2	2	2
77	1	1	2	2	2	2	2	2	2	1	2	1
78	1	2	2	2	1	3	1	3	1	3	1	2
79	1	3	1	3	2	1	1	1	2	1	2	1
80	2	2	3	2	1	1	2	2	1	4	2	2
81	2	2	1	2	2	2	2	1	2	2	2	1
82	2	2	1	2	1	2	3	2	2	1	2	2
83	2	2	2	1	4	2	2	2	1	1	1	3
84	2	1	2	2	2	2	2	2	1	1	1	2
85	2	2	3	1	3	2	3	2	2	1	4	1
86	2	2	1	1	2	1	2	2	2	1	1	2
87	1	2	2	1	2	2	2	2	2	2	2	2
88	3	2	2	2	2	2	2	3	2	1	2	1
89	1	1	2	1	2	1	2	2	2	2	2	2
