	gene8	gene7	gene1	gene3	gene4	gene2	cellnum	chrom3	chrom2	gene5	gene6	chrom1
0	2	2	2	2	2	2	2	1	1	2	1	2
1	2	2	2	2	1	1	2	1	2	2	2	2
2	2	2	1	2	1	1	2	4	1	1	2	1
3	1	2	1	1	1	2	2	1	2	1	1	1
4	1	1	3	4	2	1	2	2	2	2	1	2
5	3	1	2	2	2	2	2	2	3	4	2	2
6	2	1	1	3	1	2	3	2	4	2	2	2
7	2	2	2	1	1	1	3	2	2	2	2	2
8	2	1	1	1	2	1	2	2	1	3	1	2
9	2	2	1	2	2	1	2	2	4	2	4	1
10	2	2	1	2	1	2	3	2	2	2	2	2
11	1	2	2	2	2	1	2	2	2	2	1	3
12	2	1	2	2	1	2	3	3	2	2	1	1
13	2	2	1	2	1	2	2	1	2	1	1	2
14	1	2	2	3	2	2	2	1	2	2	2	2
15	4	2	2	2	2	2	1	3	1	2	2	2
16	1	1	2	1	2	1	2	2	4	1	2	1
17	2	2	2	2	1	2	2	2	2	2	1	1
18	2	1	2	2	3	1	2	1	2	1	1	2
19	2	2	3	2	2	2	2	2	2	2	2	2
20	1	2	2	2	2	2	2	2	1	3	2	2
21	2	2	2	2	3	2	2	2	1	2	2	1
22	2	1	3	1	1	2	2	1	1	2	2	3
23	2	2	2	2	3	2	2	3	4	3	3	1
24	1	1	2	2	1	2	3	2	1	2	2	2
25	2	1	1	2	2	1	1	2	2	2	1	2
26	1	2	2	2	3	1	1	4	2	2	1	2
27	1	1	2	3	2	1	1	2	4	2	2	2
28	2	1	2	2	3	2	1	2	2	2	2	2
29	2	1	2	3	2	2	2	1	3	1	2	2
30	2	1	2	2	2	2	1	3	2	2	2	2
31	3	2	2	4	2	1	2	2	1	2	2	1
32	1	2	2	2	2	3	1	2	1	2	2	2
33	2	1	3	1	1	1	2	1	3	2	2	2
34	2	2	1	2	2	2	4	2	2	1	2	2
35	2	2	2	2	4	2	2	3	1	4	2	2
36	3	2	2	2	2	2	1	2	1	1	2	1
37	1	2	2	3	2	1	2	1	1	2	3	2
38	2	3	2	2	2	1	2	2	3	1	1	1
39	2	1	1	2	2	2	2	1	2	1	2	2
40	3	2	2	1	2	2	1	1	2	2	2	3
41	1	2	2	4	2	2	2	2	2	1	2	1
42	3	1	2	2	2	1	2	2	1	2	1	2
43	2	2	1	2	2	1	2	2	2	2	4	1
44	2	1	2	1	2	2	2	1	1	2	2	2
45	1	2	2	1	1	2	2	2	4	2	2	2
46	2	2	2	1	2	2	2	2	2	3	2	1
47	2	1	2	4	1	2	2	1	1	1	4	1
48	2	1	2	2	2	2	2	2	2	2	2	2
49	2	4	2	2	1	2	2	2	3	1	1	2
50	2	3	2	1	2	2	2	4	2	2	3	4
51	2	2	2	2	2	2	3	2	2	1	3	2
52	2	1	2	2	2	1	2	2	2	2	2	1
53	2	2	3	1	1	4	4	2	2	2	2	2
54	2	2	2	1	1	2	2	2	1	2	2	2
55	3	2	2	1	3	2	2	2	2	1	1	3
56	3	1	3	3	2	1	1	2	2	1	2	4
57	1	2	2	2	2	2	1	2	3	1	2	2
58	2	1	3	3	2	2	2	2	2	2	1	1
59	2	2	2	3	2	2	2	2	2	1	4	2
60	1	3	2	4	2	2	2	2	2	2	2	1
61	2	2	1	1	2	2	2	2	2	1	3	2
62	2	2	2	1	2	1	1	2	1	4	2	2
63	1	1	2	2	3	1	3	2	1	2	1	4
64	2	1	3	1	2	3	1	1	2	4	2	3
65	3	2	2	1	2	2	2	2	3	2	2	2
66	4	1	2	1	2	2	2	2	1	1	2	1
67	1	2	1	3	2	2	2	1	1	2	4	2
68	2	4	2	2	2	2	2	1	2	2	2	3
69	3	2	2	2	3	4	1	2	2	2	3	1
70	2	2	2	2	2	2	2	1	1	4	2	2
71	2	1	2	2	1	2	1	2	2	2	2	2
72	2	2	2	2	2	2	2	1	2	1	2	2
73	2	2	2	1	1	2	2	2	1	2	1	2
74	4	2	2	1	2	2	2	2	2	2	1	1
75	1	1	2	2	1	1	2	1	2	1	2	3
76	2	2	2	2	2	2	2	2	3	4	1	2
77	2	2	1	2	1	2	2	3	2	2	2	1
78	2	2	2	2	3	4	2	1	2	2	2	2
79	1	1	1	3	2	3	1	2	2	2	2	2
80	2	1	2	2	4	2	2	1	1	3	2	1
81	2	2	2	1	2	1	2	1	1	2	2	2
82	1	2	1	2	1	1	2	2	2	1	2	2
83	2	1	2	1	2	4	2	2	1	3	2	1
84	2	1	1	1	2	2	3	1	1	2	1	2
85	2	2	1	2	2	4	2	2	2	1	3	2
86	2	1	2	3	2	1	2	2	1	2	4	2
87	3	2	2	2	2	1	1	1	2	1	1	2
88	3	1	1	2	1	2	1	2	3	1	2	1
89	1	2	1	2	2	1	1	2	2	2	1	2
