	gene8	gene7	gene1	gene3	gene4	gene2	cellnum	chrom3	chrom2	gene5	gene6	chrom1
0	2	2	2	2	3	2	1	2	2	2	2	1
1	1	3	2	1	4	2	2	1	2	1	2	2
2	2	2	1	1	2	1	3	2	2	2	3	2
3	2	2	2	2	2	2	2	3	2	1	1	2
4	1	3	1	2	1	4	2	1	2	1	2	2
5	1	2	3	1	2	1	2	1	2	2	1	2
6	2	2	1	2	1	3	2	2	2	2	1	1
7	3	1	2	2	1	2	1	2	2	2	3	2
8	2	2	2	2	1	2	2	2	1	1	2	1
9	4	2	1	1	1	2	1	2	2	2	2	2
10	2	3	2	2	4	1	2	1	2	2	2	1
11	2	3	2	2	2	2	1	2	2	2	3	2
12	2	2	2	1	2	2	2	1	1	3	2	2
13	4	1	2	2	2	2	3	2	2	2	4	1
14	2	2	2	1	3	1	1	2	2	2	2	2
15	2	2	2	2	2	2	2	2	2	1	2	1
16	1	2	2	1	1	2	2	2	3	4	2	2
17	2	1	1	1	1	1	4	2	2	2	1	3
18	3	2	2	1	1	1	2	2	2	1	2	2
19	2	2	1	2	2	2	1	2	2	2	1	1
20	1	1	1	1	2	3	1	2	2	2	2	2
21	2	2	1	2	2	2	2	1	1	1	1	1
22	2	4	2	4	2	3	2	2	1	1	2	1
23	2	2	2	2	3	3	2	2	1	1	1	1
24	3	2	2	2	2	1	1	2	4	2	2	2
25	4	2	2	3	1	2	4	2	2	2	2	2
26	2	2	2	2	3	4	2	1	3	2	2	1
27	1	2	2	2	2	2	2	1	2	3	1	1
28	2	2	4	1	2	1	2	2	1	2	1	2
29	2	2	1	2	2	2	2	1	2	2	2	1
30	4	2	2	2	4	1	2	1	2	1	2	2
31	3	2	1	1	2	2	1	3	2	2	2	4
32	2	2	2	2	2	2	2	2	2	3	2	1
33	2	2	1	1	1	2	2	1	2	1	2	4
34	2	1	2	3	2	2	4	3	2	2	1	2
35	1	4	2	1	2	2	2	4	2	1	2	2
36	2	2	1	2	2	2	1	1	2	3	1	4
37	1	2	3	4	3	2	3	3	1	2	3	2
38	2	4	1	1	2	3	3	1	1	1	2	2
39	3	2	2	1	2	2	2	4	2	2	1	3
40	3	2	1	2	2	2	2	2	2	1	2	1
41	2	3	2	2	2	2	1	1	2	1	2	2
42	2	1	1	2	3	4	2	2	2	1	1	1
43	2	2	2	2	1	1	1	2	2	2	2	1
44	2	2	2	2	2	2	2	2	2	2	2	1
45	2	2	1	1	2	3	1	3	1	1	2	2
46	2	2	2	2	2	2	3	1	1	2	1	2
47	2	2	2	2	1	1	3	2	2	4	1	3
48	1	2	2	2	2	3	1	3	1	3	3	3
49	2	2	2	1	2	2	2	1	2	2	1	3
50	2	1	2	2	1	2	1	2	2	2	2	2
51	1	4	2	2	2	2	2	2	1	2	2	2
52	4	1	2	2	2	2	2	2	2	2	3	2
53	1	1	2	2	2	1	2	2	2	2	2	3
54	2	2	2	4	2	3	1	2	1	2	4	2
55	2	4	2	1	1	2	1	4	2	1	2	2
56	4	1	1	1	2	2	2	1	1	3	2	2
57	2	2	2	1	1	2	1	2	1	1	1	1
58	3	2	2	2	3	1	1	1	3	2	1	1
59	2	2	2	2	2	3	2	1	2	1	2	2
60	4	1	1	2	1	2	4	2	2	4	3	2
61	1	2	2	1	1	4	3	2	2	2	1	1
62	2	2	2	2	2	4	2	1	2	4	2	1
63	1	2	3	1	2	2	3	1	1	2	2	2
64	4	2	1	1	2	1	2	2	2	2	3	3
65	3	3	2	1	2	3	2	3	2	3	1	2
66	3	1	2	1	2	2	2	2	1	2	2	1
67	2	2	2	2	2	2	1	2	2	2	2	1
68	2	2	2	2	4	3	1	1	1	2	2	1
69	2	2	1	1	2	2	2	3	1	2	1	2
70	1	2	2	1	2	2	3	1	2	1	2	3
71	2	2	1	2	3	3	2	2	1	1	2	2
72	3	2	3	2	1	1	3	2	2	1	4	1
73	2	1	2	4	1	2	2	2	2	1	2	2
74	2	1	2	2	3	1	1	2	1	2	2	2
75	1	2	2	1	4	1	2	1	4	2	2	1
76	2	2	4	2	3	2	2	2	4	2	2	3
77	2	3	2	1	3	2	2	3	2	2	1	1
78	1	2	4	2	2	1	1	1	2	1	2	3
79	2	1	2	2	2	2	2	3	2	1	2	2
80	1	2	2	1	1	2	1	1	1	2	2	2
81	2	1	2	2	1	1	1	1	2	1	2	2
82	2	2	2	2	4	3	2	1	2	2	2	4
83	2	3	1	1	1	1	2	3	2	2	3	2
84	2	1	2	1	2	1	2	4	2	3	1	2
85	2	2	3	2	2	1	2	1	1	2	2	2
86	2	2	2	2	2	2	1	1	1	1	1	2
87	4	1	2	2	2	3	2	2	1	2	4	2
88	2	3	2	1	2	1	3	2	2	1	2	1
89	2	2	1	1	1	1	2	2	2	2	1	1
