	gene8	gene7	gene1	gene3	gene4	gene2	cellnum	chrom3	chrom2	gene5	gene6	chrom1
0	2	2	2	1	1	2	3	1	1	2	2	4
1	2	1	2	2	3	2	2	3	2	3	2	2
2	2	1	4	2	2	2	2	2	2	2	2	1
3	2	1	3	1	1	2	1	2	2	2	2	3
4	2	2	1	1	1	2	2	2	2	1	2	2
5	2	2	2	1	2	2	2	2	1	2	2	1
6	1	2	1	1	2	2	2	2	2	1	3	2
7	2	2	2	2	2	2	1	1	2	1	4	2
8	3	1	2	2	1	1	1	1	2	2	3	2
9	2	2	2	2	1	3	2	2	2	4	2	2
10	2	2	2	1	2	4	2	3	1	1	2	3
11	2	2	1	2	1	2	1	1	2	2	2	2
12	2	2	2	2	4	2	2	2	2	1	1	1
13	2	2	2	2	2	2	1	2	2	2	1	3
14	1	2	2	2	2	2	2	2	2	3	2	2
15	2	3	3	3	1	3	2	4	2	1	1	1
16	2	1	2	2	3	1	4	1	1	2	2	2
17	1	2	2	2	3	1	3	2	2	4	1	3
18	1	2	1	1	3	2	1	2	1	2	3	2
19	2	1	1	1	1	2	4	2	1	1	2	2
20	2	1	2	1	1	2	2	2	2	2	1	2
21	2	2	1	2	1	2	2	4	2	2	2	1
22	1	2	1	2	1	2	4	3	1	1	1	3
23	3	3	1	2	2	1	2	2	2	2	2	1
24	2	2	2	2	2	2	4	1	1	3	1	1
25	2	2	2	2	2	2	3	3	2	1	1	1
26	2	2	2	2	1	1	2	1	1	2	1	1
27	1	2	2	2	1	3	2	2	2	2	2	2
28	2	2	2	2	1	1	2	1	2	2	2	2
29	4	3	2	2	2	3	3	2	4	2	2	2
30	4	2	3	2	1	4	2	2	2	1	1	2
31	1	2	1	2	2	2	3	1	2	3	2	1
32	1	2	2	2	2	2	2	2	2	2	2	1
33	2	1	2	1	3	2	1	2	3	1	2	1
34	2	2	1	2	2	2	2	2	1	2	2	2
35	2	2	1	1	2	1	2	1	2	2	1	2
36	2	2	1	1	2	1	2	1	1	3	2	2
37	2	3	2	2	2	2	2	2	3	1	1	2
38	4	2	1	1	3	1	2	2	2	1	2	4
39	2	4	2	2	4	2	2	1	2	2	1	2
40	2	2	1	1	2	1	3	1	2	1	2	1
41	2	2	2	2	2	2	2	1	1	1	3	2
42	1	2	2	4	3	2	1	2	3	1	1	3
43	2	1	2	3	2	2	3	1	2	2	3	2
44	3	4	1	2	2	2	2	2	2	1	2	2
45	2	3	2	2	2	2	1	1	3	3	2	4
46	2	2	2	1	1	3	2	1	1	2	1	2
47	2	2	1	2	1	2	2	2	2	1	2	2
48	2	1	2	4	2	1	1	1	2	1	2	3
49	3	1	2	1	2	2	1	2	4	2	2	1
50	2	1	2	2	2	2	3	2	1	2	2	2
51	2	3	2	2	1	4	2	1	2	2	2	2
52	1	2	1	2	2	2	2	4	2	2	2	2
53	2	2	1	2	2	2	2	2	3	1	2	2
54	2	2	2	1	2	2	1	2	4	1	2	2
55	3	1	1	2	1	2	1	1	3	2	3	2
56	2	2	2	1	2	1	2	2	2	2	1	2
57	1	2	1	2	1	2	2	1	2	2	2	1
58	2	2	2	1	2	2	2	2	2	3	1	4
59	1	1	1	1	2	2	2	1	3	2	1	2
60	3	4	3	2	1	2	1	1	2	2	2	2
61	1	4	2	1	2	2	2	1	2	1	3	2
62	1	2	4	2	2	2	4	2	2	2	1	1
63	3	1	2	2	2	1	1	1	2	1	3	1
64	1	1	2	2	4	1	1	1	2	1	2	1
65	2	2	1	2	2	2	2	2	2	2	2	2
66	2	1	3	1	1	1	2	2	2	2	1	2
67	2	2	2	1	2	2	1	1	1	1	2	2
68	2	2	1	2	2	2	2	1	3	2	2	2
69	2	1	1	4	1	2	2	1	2	3	2	3
70	2	2	2	2	3	1	2	2	2	2	2	2
71	1	1	2	2	1	2	2	2	2	4	2	2
72	2	2	1	2	2	2	1	1	1	1	4	2
73	2	2	2	2	2	2	2	1	2	3	2	2
74	1	2	2	2	2	1	2	3	3	4	2	1
75	2	2	1	2	3	2	2	2	1	1	1	2
76	1	3	2	1	2	1	2	2	2	2	1	1
77	4	2	2	2	2	2	4	3	2	1	2	3
78	2	2	1	3	1	1	2	2	2	2	2	2
79	1	1	1	2	2	1	1	2	3	2	2	1
80	2	1	1	1	2	2	1	2	1	2	2	4
81	2	3	2	2	2	1	2	3	2	2	1	2
82	2	2	2	2	2	2	1	1	2	1	1	4
83	1	1	3	2	2	2	2	2	2	1	2	2
84	2	2	2	2	2	2	1	1	2	1	2	2
85	2	2	2	2	2	2	1	1	2	3	2	2
86	2	2	4	2	3	4	1	2	2	2	2	2
87	2	4	2	2	1	4	2	2	1	1	2	1
88	2	1	2	1	2	3	1	2	2	1	2	2
89	2	1	2	2	2	1	2	1	2	2	2	2
