	gene8	gene7	gene1	gene3	gene4	gene2	cellnum	chrom3	chrom2	gene5	gene6	chrom1
0	1	3	1	2	2	2	3	1	1	2	2	1
1	2	1	2	4	3	2	2	2	2	2	1	1
2	1	2	1	2	2	2	2	1	2	1	2	2
3	4	2	2	1	2	2	1	2	2	2	2	1
4	2	2	2	1	2	2	2	3	2	2	2	3
5	1	2	3	2	2	3	2	2	1	2	1	2
6	2	1	1	1	2	2	2	2	2	3	2	2
7	2	1	2	1	2	2	1	2	2	2	4	1
8	2	2	1	1	2	1	1	2	2	1	2	1
9	2	2	2	2	1	2	2	1	2	2	1	3
10	2	2	2	4	3	2	2	2	2	2	2	2
11	2	2	2	2	2	4	1	1	2	2	3	2
12	1	2	2	2	2	2	1	2	2	2	2	2
13	2	1	2	1	2	1	2	2	2	2	2	1
14	2	1	1	3	1	4	2	1	1	4	2	1
15	2	1	2	4	1	1	2	2	1	2	1	1
16	1	2	2	1	2	1	2	1	3	2	3	2
17	2	2	2	1	2	4	1	4	2	1	1	1
18	2	2	2	2	2	2	2	2	2	2	2	2
19	2	2	2	1	1	1	2	1	2	2	2	2
20	2	1	2	2	1	2	2	2	1	2	2	2
21	2	1	2	1	2	3	3	1	2	2	2	2
22	2	2	2	4	1	2	1	2	1	2	1	2
23	2	2	2	1	2	2	2	2	1	2	1	2
24	2	2	1	1	1	2	4	3	1	2	1	2
25	2	1	2	4	2	2	2	1	2	2	2	1
26	2	2	3	1	1	3	2	2	1	1	2	2
27	2	1	1	1	2	2	2	3	2	2	3	1
28	1	1	2	2	1	1	1	2	4	1	1	2
29	2	2	4	2	2	2	1	2	4	2	3	1
30	3	2	2	2	1	2	3	1	2	3	1	2
31	2	4	2	1	1	1	2	2	2	3	4	2
32	3	2	1	2	2	2	2	2	1	2	4	2
33	2	2	1	1	2	2	2	2	2	2	1	2
34	2	1	1	2	2	1	4	2	2	2	2	4
35	1	1	2	3	1	2	2	1	1	2	2	1
36	2	2	1	2	2	1	1	2	3	2	2	2
37	2	4	2	2	2	1	1	2	2	3	1	1
38	1	2	2	1	3	2	2	3	1	2	2	2
39	1	3	2	3	2	2	2	2	2	1	1	2
40	2	2	2	2	2	2	3	2	2	2	4	2
41	2	2	2	2	2	2	2	2	1	1	2	2
42	2	1	1	2	2	1	1	2	2	2	3	2
43	1	1	2	2	2	2	1	3	2	2	2	1
44	3	1	2	2	3	2	2	2	2	2	2	2
45	1	2	2	2	2	1	4	2	1	3	2	1
46	1	1	1	2	2	1	2	1	2	2	2	2
47	1	2	3	2	2	2	2	1	1	1	2	2
48	2	1	2	1	2	1	2	2	1	3	2	2
49	1	2	1	2	1	2	2	2	2	2	3	2
50	2	1	2	2	2	2	3	3	2	1	2	2
51	2	2	3	2	1	1	2	1	4	2	3	1
52	2	2	2	2	1	1	2	2	1	2	1	4
53	2	1	1	1	1	3	2	2	2	2	3	2
54	2	1	3	2	1	1	2	2	2	2	2	1
55	4	2	2	2	1	1	2	1	2	1	1	1
56	2	2	1	2	2	2	2	1	2	2	1	2
57	2	2	2	2	2	2	2	2	2	2	2	3
58	1	1	2	2	2	2	1	2	1	1	2	4
59	2	1	1	1	1	1	1	2	2	2	1	3
60	2	1	1	2	2	1	3	2	1	2	2	2
61	2	2	2	1	1	2	2	3	1	2	2	1
62	2	1	2	1	2	2	2	2	2	2	2	2
63	3	2	1	1	1	1	1	2	1	1	2	1
64	1	1	3	2	2	2	2	4	2	2	2	4
65	2	1	2	2	2	1	1	2	1	2	2	1
66	1	3	2	2	2	2	1	2	1	1	2	1
67	2	2	3	4	2	2	2	1	2	2	2	1
68	2	1	2	1	1	1	2	3	4	1	2	1
69	2	3	1	2	1	2	1	4	2	1	2	1
70	1	2	2	1	3	1	2	2	2	1	3	2
71	2	2	2	2	2	3	2	1	1	2	2	2
72	1	1	1	1	2	1	2	2	2	2	1	3
73	2	1	2	3	4	4	2	1	2	2	2	2
74	2	2	2	3	2	2	2	1	2	1	2	2
75	2	2	2	2	3	4	2	1	2	2	1	2
76	2	2	2	1	2	3	2	1	2	2	1	3
77	1	2	3	2	3	2	2	2	2	1	2	2
78	2	2	4	1	1	3	2	3	4	4	2	2
79	1	2	2	2	2	2	2	2	2	2	2	1
80	2	2	1	1	2	2	1	3	2	1	2	3
81	2	2	2	1	1	2	4	2	3	3	3	2
82	2	2	1	2	2	1	3	2	2	1	3	2
83	1	2	2	2	1	4	2	2	2	2	2	1
84	2	2	1	1	2	2	2	2	2	1	1	2
85	2	1	2	2	3	2	1	2	2	2	2	2
86	2	2	2	2	3	3	1	2	2	2	2	3
87	3	1	4	2	2	2	2	2	2	2	3	2
88	2	1	1	1	2	2	2	2	1	2	2	1
89	2	2	1	2	3	2	1	2	2	2	1	1
