	gene8	gene7	gene1	gene3	gene4	gene2	cellnum	chrom3	chrom2	gene5	gene6	chrom1
0	1	2	1	1	2	1	2	3	3	1	2	1
1	2	4	1	1	2	1	1	1	2	2	1	1
2	2	2	2	1	2	2	2	1	2	3	2	4
3	1	2	2	2	2	2	1	1	2	2	2	2
4	2	2	2	2	2	2	1	4	2	1	3	1
5	2	1	2	2	2	1	2	2	2	1	2	4
6	1	2	2	2	2	1	2	2	2	3	2	3
7	2	1	2	1	1	2	2	4	2	1	2	2
8	3	1	2	2	1	2	1	2	1	2	3	2
9	2	2	2	1	2	2	2	2	2	3	2	1
10	2	3	3	2	1	3	2	2	2	1	2	2
11	1	2	1	2	2	2	3	2	2	2	1	2
12	1	1	2	2	2	1	2	2	1	2	2	1
13	2	3	1	2	1	2	2	2	2	2	2	3
14	1	1	2	4	1	1	1	1	2	2	4	1
15	3	3	2	2	2	2	2	2	1	2	2	1
16	4	3	1	1	2	1	1	2	2	3	2	1
17	1	1	3	2	2	2	2	2	2	3	2	2
18	2	2	3	2	2	3	1	1	2	2	2	1
19	2	3	1	2	2	2	2	1	1	2	1	2
20	3	1	2	2	2	3	1	2	2	2	2	2
21	2	2	3	4	2	2	2	2	1	2	1	1
22	3	2	2	2	2	1	2	2	1	2	2	2
23	1	1	1	2	2	1	2	2	3	1	3	2
24	1	2	2	2	2	3	2	2	2	2	2	1
25	1	2	2	2	2	2	2	1	4	4	2	2
26	2	2	1	2	2	2	2	2	2	2	1	2
27	1	2	1	2	2	2	1	4	1	2	2	1
28	3	1	3	1	2	2	4	1	2	1	2	2
29	2	2	2	1	2	1	2	2	2	2	2	2
30	2	4	2	4	2	2	3	2	1	2	2	2
31	1	1	2	2	2	3	2	1	2	2	3	2
32	2	2	1	2	2	2	1	1	2	4	2	2
33	2	2	3	2	2	2	2	1	2	1	2	2
34	2	1	3	4	1	2	2	2	2	1	2	2
35	3	1	2	2	2	1	2	2	2	2	4	4
36	2	3	1	4	2	1	1	2	1	2	2	2
37	1	2	1	1	2	2	1	2	2	1	4	1
38	2	1	1	1	3	2	1	2	2	2	3	1
39	2	2	2	2	2	4	1	2	3	2	2	2
40	1	3	1	2	1	1	2	2	2	2	2	2
41	2	1	2	1	2	2	1	3	2	1	1	4
42	2	1	2	1	2	2	2	2	2	2	2	3
43	1	1	2	4	2	2	1	2	3	1	2	1
44	2	2	3	2	2	3	1	1	2	2	1	1
45	2	1	2	1	1	2	2	1	2	2	1	2
46	2	2	1	2	2	2	2	2	3	2	1	1
47	2	1	2	3	2	2	4	2	3	3	2	2
48	1	2	2	2	2	1	2	1	2	3	3	2
49	1	2	2	2	1	1	2	2	2	1	2	1
50	4	2	2	2	2	1	2	2	2	2	2	2
51	2	3	1	1	1	2	3	2	1	2	4	2
52	3	2	2	4	3	1	2	2	2	1	2	2
53	2	2	3	4	1	1	2	1	1	2	3	2
54	1	2	2	1	4	2	2	1	2	2	2	2
55	2	2	2	2	2	1	2	1	1	1	1	1
56	3	2	2	4	2	2	2	1	2	2	2	4
57	2	2	1	2	2	1	2	4	2	2	4	1
58	2	1	2	1	2	2	1	2	1	2	2	1
59	1	1	2	2	2	2	1	2	2	4	2	1
60	2	2	2	2	3	2	3	2	2	3	1	4
61	2	1	2	1	1	1	2	3	2	1	3	2
62	2	1	2	2	2	1	2	2	3	2	1	1
63	1	2	2	4	2	1	2	2	1	2	2	1
64	2	1	1	1	2	2	1	2	3	2	2	2
65	3	2	2	4	2	1	1	2	2	1	1	2
66	4	2	1	2	2	1	2	2	2	1	2	2
67	2	2	2	1	2	2	2	2	2	1	2	1
68	1	4	1	2	2	1	2	2	2	2	1	2
69	2	2	4	2	2	1	2	3	2	2	4	2
70	1	3	2	2	2	1	2	2	4	4	2	2
71	1	2	2	2	2	2	2	1	1	2	1	2
72	2	3	2	2	1	2	2	3	1	3	1	1
73	1	1	1	2	2	2	2	3	2	1	2	2
74	2	2	2	1	2	2	2	1	2	2	2	2
75	2	1	2	2	1	2	1	1	2	2	3	3
76	2	1	3	2	3	2	1	2	1	2	2	1
77	2	1	2	2	1	2	2	2	1	1	3	2
78	2	2	2	3	2	2	2	1	2	2	2	2
79	2	2	2	2	1	2	2	2	2	2	2	1
80	2	2	2	2	3	2	2	3	3	2	2	1
81	2	1	1	2	2	1	2	1	1	2	2	3
82	1	1	3	1	2	1	1	2	2	2	1	2
83	2	2	2	2	2	2	1	3	2	3	2	2
84	2	2	2	2	1	2	2	1	2	1	3	2
85	1	2	1	2	2	1	1	1	2	1	4	1
86	2	2	2	2	2	1	3	2	2	2	2	2
87	3	2	1	4	1	1	1	2	2	2	2	3
88	3	2	2	3	2	1	1	4	1	2	2	1
89	2	2	2	2	2	2	2	2	2	2	3	2
