	gene8	gene7	gene1	gene3	gene4	gene2	cellnum	chrom3	chrom2	gene5	gene6	chrom1
0	2	1	2	2	2	1	2	3	2	1	2	2
1	3	3	1	1	4	1	1	2	2	2	1	2
2	2	2	2	2	2	2	2	2	1	2	2	2
3	1	2	2	2	2	1	2	1	2	2	2	2
4	2	2	4	2	1	4	1	4	1	1	1	1
5	2	2	1	2	2	2	1	2	2	1	2	2
6	2	2	2	1	1	1	2	2	2	1	2	1
7	2	2	2	2	2	2	2	1	1	1	2	1
8	2	1	1	2	2	2	2	2	2	2	2	1
9	2	1	1	2	3	2	2	2	2	1	1	2
10	2	2	1	2	1	1	2	2	2	2	1	2
11	2	2	2	1	2	2	1	2	1	4	1	2
12	2	2	2	1	2	3	2	2	4	2	4	1
13	2	2	1	2	2	4	1	2	2	2	1	2
14	2	2	2	2	2	2	2	4	4	1	2	2
15	1	3	2	2	2	2	2	2	2	2	1	2
16	2	2	2	2	3	3	2	1	2	1	2	2
17	1	2	3	2	2	2	2	2	2	2	1	1
18	2	2	1	2	2	1	2	2	1	3	2	2
19	1	2	2	1	1	4	1	2	1	2	2	2
20	2	2	3	2	1	2	2	2	2	1	2	2
21	2	1	1	1	2	2	2	2	2	2	2	2
22	1	2	2	1	3	1	2	2	2	4	3	2
23	2	2	2	2	2	2	2	2	3	2	2	2
24	1	1	2	2	2	2	2	2	2	2	3	1
25	2	1	2	1	2	1	2	1	2	1	4	2
26	2	2	1	1	2	2	2	2	2	2	2	2
27	2	2	2	2	2	3	3	2	2	2	1	1
28	2	1	1	2	2	2	1	2	2	2	2	2
29	1	2	1	3	1	1	2	4	3	2	2	3
30	2	1	2	2	2	3	2	1	1	2	2	2
31	1	2	3	2	1	4	3	2	4	4	3	2
32	1	2	2	2	1	2	2	2	1	2	2	2
33	3	3	2	2	1	3	3	2	1	2	2	1
34	2	3	2	1	2	2	2	2	2	2	2	2
35	2	2	1	1	3	1	4	3	2	1	1	1
36	2	2	1	2	4	1	2	2	2	3	2	1
37	3	4	2	2	1	1	2	3	2	2	1	3
38	2	3	2	2	1	2	1	1	2	2	1	2
39	2	3	3	1	2	1	2	2	2	1	1	4
40	2	2	1	1	2	1	2	1	2	2	1	2
41	2	2	1	1	2	2	1	3	1	1	1	2
42	4	3	2	2	2	1	2	4	2	2	2	2
43	2	2	2	2	1	1	1	2	2	1	2	1
44	2	2	2	1	2	1	1	2	3	1	3	4
45	2	2	2	2	3	1	2	2	1	2	2	1
46	2	2	2	2	2	2	2	1	2	2	1	2
47	2	4	2	1	1	1	1	1	3	2	2	2
48	1	2	1	2	2	2	2	2	2	2	2	2
49	1	1	4	2	3	2	2	2	1	2	2	2
50	2	1	2	2	2	4	1	2	2	2	2	2
51	2	2	2	4	2	1	2	2	3	2	1	2
52	1	2	2	1	2	2	3	2	2	2	4	2
53	2	3	2	1	2	1	2	1	2	1	1	1
54	2	2	1	1	2	1	2	1	1	2	2	2
55	2	2	2	2	3	2	2	3	2	2	2	2
56	2	2	2	2	2	2	2	2	3	2	2	2
57	2	1	4	1	1	1	2	3	3	1	1	2
58	2	2	1	1	1	2	2	1	2	2	4	2
59	1	2	2	2	3	2	3	1	2	2	2	1
60	2	2	1	2	1	2	1	3	3	2	1	1
61	3	3	1	2	1	3	2	4	2	2	1	2
62	2	3	2	2	2	1	3	2	1	2	2	2
63	2	2	3	2	2	2	1	1	1	1	2	2
64	2	2	2	1	1	2	3	2	2	2	2	2
65	2	2	2	2	2	2	2	2	2	2	2	2
66	2	3	1	2	2	2	2	2	2	2	2	2
67	1	2	1	1	1	2	1	2	2	2	1	2
68	4	2	3	2	3	2	2	2	3	1	1	3
69	3	2	2	3	2	1	2	2	2	1	2	3
70	2	2	2	1	3	1	1	2	3	2	3	2
71	1	2	2	2	1	2	2	1	2	1	2	2
72	1	2	2	2	1	2	2	1	1	1	2	1
73	1	2	2	2	2	2	2	2	2	1	2	2
74	2	3	3	2	3	2	2	2	2	4	2	2
75	2	2	1	1	2	1	2	2	2	1	2	1
76	2	1	1	2	2	1	1	2	2	4	2	2
77	2	2	1	2	2	2	4	2	1	1	1	2
78	1	2	4	2	2	2	1	1	2	1	2	1
79	2	1	2	2	2	1	1	2	2	2	3	1
80	2	1	1	1	2	2	3	3	2	2	2	2
81	2	2	2	1	4	2	1	3	2	2	2	1
82	1	2	1	1	2	2	1	2	4	2	2	2
83	1	2	1	2	2	1	2	2	1	2	3	2
84	2	2	2	3	2	1	1	2	2	2	2	2
85	4	2	2	2	2	2	1	2	3	2	2	3
86	2	1	2	2	2	2	1	2	2	1	3	2
87	2	2	2	2	2	1	2	1	2	2	1	2
88	2	2	2	2	1	2	1	1	2	1	2	1
89	2	2	1	2	2	1	2	1	2	2	2	3
