	gene8	gene7	gene1	gene3	gene4	gene2	cellnum	chrom3	chrom2	gene5	gene6	chrom1
0	2	2	2	2	2	1	2	2	2	1	3	2
1	2	2	2	1	2	2	2	2	2	4	3	2
2	2	3	2	2	2	2	4	2	2	4	1	1
3	2	2	2	2	2	4	2	2	2	2	4	2
4	1	2	2	1	1	2	1	2	2	1	1	2
5	1	4	2	2	2	2	4	2	1	2	1	1
6	2	2	2	1	2	3	2	2	2	1	2	2
7	1	2	1	3	2	1	2	2	2	2	2	2
8	2	1	1	1	2	2	2	1	4	2	2	2
9	2	2	2	3	3	1	1	2	2	2	1	2
10	2	3	4	1	2	2	2	2	3	3	2	2
11	3	1	2	2	2	2	1	2	2	2	2	1
12	2	2	2	2	2	2	4	2	2	2	2	2
13	1	2	2	2	1	2	2	4	2	1	3	1
14	1	3	1	2	2	2	2	2	1	2	3	2
15	2	1	2	4	1	1	2	2	2	1	2	2
16	2	1	2	2	3	2	4	4	2	1	2	2
17	2	1	2	2	2	3	2	2	2	1	1	3
18	1	2	2	1	4	2	2	2	2	2	2	2
19	2	1	3	2	2	2	2	1	2	1	1	2
20	3	2	2	1	2	2	2	2	2	1	1	2
21	2	3	1	1	2	1	1	1	1	2	2	2
22	2	2	1	2	2	1	1	4	2	2	2	1
23	1	2	1	2	1	2	3	2	2	1	2	2
24	2	2	1	2	2	2	2	1	2	2	1	1
25	1	2	2	1	2	2	3	2	2	2	2	2
26	2	1	2	1	2	2	2	4	3	1	2	1
27	2	1	1	3	2	1	2	2	2	3	1	1
28	1	2	2	2	2	2	1	2	2	1	1	2
29	2	2	1	2	4	3	1	2	2	2	2	1
30	2	2	2	2	1	2	2	2	2	2	1	2
31	3	1	1	2	2	4	1	3	2	2	1	3
32	2	2	2	2	2	2	3	2	2	1	2	1
33	3	2	3	2	2	2	3	4	3	1	1	1
34	2	1	2	2	2	1	3	1	2	2	1	2
35	2	1	2	2	3	1	4	2	2	2	3	2
36	1	2	1	3	2	2	2	1	2	2	2	2
37	2	2	3	2	2	2	2	2	1	2	1	1
38	1	2	2	1	4	1	3	1	1	2	2	2
39	2	1	4	1	2	2	2	2	2	3	1	2
40	2	2	1	1	4	2	1	2	1	2	1	2
41	2	2	2	1	2	1	2	2	1	2	2	2
42	1	2	4	2	1	3	1	2	2	2	2	2
43	2	2	1	1	2	2	2	2	2	2	3	1
44	3	2	2	1	2	4	2	1	3	2	2	2
45	1	1	2	1	1	1	3	2	4	2	4	2
46	2	1	3	2	2	2	2	2	2	2	2	1
47	2	2	3	4	2	1	3	2	2	2	2	2
48	1	3	2	1	2	4	2	2	2	2	1	2
49	2	2	3	1	1	2	1	3	2	2	2	2
50	2	2	1	2	1	2	2	2	2	2	2	1
51	2	2	1	2	2	2	2	1	4	2	2	2
52	2	4	2	1	1	2	2	2	2	2	1	3
53	2	2	2	2	1	3	3	2	2	2	1	2
54	2	1	3	2	2	2	1	1	1	2	2	3
55	2	2	1	2	2	2	1	2	2	1	2	2
56	2	2	2	1	1	2	2	2	3	2	3	2
57	2	2	2	3	2	2	2	2	2	2	2	2
58	1	2	1	2	2	2	2	1	1	1	3	2
59	2	2	2	1	1	2	1	4	2	1	2	3
60	1	1	1	2	1	4	1	2	1	2	1	1
61	2	2	1	3	3	2	2	2	2	3	2	1
62	2	1	2	2	2	1	2	2	4	2	1	2
63	1	2	2	1	1	3	1	1	2	2	2	2
64	1	4	2	3	1	1	4	4	2	2	2	2
65	2	2	1	2	2	2	2	2	2	1	1	2
66	1	2	2	2	1	4	2	2	2	2	1	1
67	2	1	3	1	2	1	2	2	1	1	2	3
68	2	2	2	4	2	1	2	2	2	1	2	1
69	2	1	3	3	2	2	2	1	3	2	1	2
70	1	2	2	1	2	3	4	2	2	1	2	2
71	1	2	3	2	2	2	2	2	2	2	2	2
72	1	2	1	1	3	2	2	2	2	4	2	2
73	1	1	2	2	2	1	2	1	2	4	2	1
74	1	3	2	2	2	2	2	2	2	2	2	2
75	2	2	1	1	2	2	1	2	2	1	2	2
76	2	1	2	1	2	1	2	2	3	2	2	4
77	2	4	1	2	2	1	2	1	4	3	2	2
78	1	2	2	2	2	1	2	2	2	3	1	4
79	2	3	2	2	2	2	2	1	1	2	2	2
80	3	2	4	3	1	2	2	2	2	4	1	2
81	2	1	2	3	2	2	2	2	2	2	2	4
82	4	2	2	3	2	2	2	2	4	3	2	2
83	3	1	1	2	1	2	2	1	2	2	2	2
84	2	1	1	1	2	2	2	1	2	2	1	2
85	3	1	2	3	2	2	2	2	3	1	2	2
86	2	3	2	2	2	2	1	2	2	1	2	2
87	2	2	2	3	2	3	2	1	1	2	1	2
88	2	2	1	2	3	1	4	2	1	3	2	2
89	2	2	2	1	2	1	3	2	1	2	2	3
